Partition,Algorithm,User,TestTime,NAttempted,NGood,Coverage,Predict.nDCG,Predict.nDCG.Raw,TopN.nDCG,AvgPrec,Rank,RecipRank
5,lucene,52762,0.149,5,5,1.0,0.9594630432981666,10.284945532683583,0.0,0.0,,0.0
5,lucene,53007,0.114,5,5,1.0,0.9762748417689473,15.992566681438523,0.0,0.0,,0.0
5,lucene,53819,0.04,5,5,1.0,1.0,16.662016721114163,0.18140952359553045,0.14646464646464646,9,0.1111111111111111
5,lucene,53877,0.091,5,4,0.8,0.9041826340875282,10.52371901428583,0.0,0.0,,0.0
5,lucene,54643,0.031,5,3,0.6,0.7230167903321474,10.892789260714373,0.0,0.0,,0.0
5,lucene,56246,0.109,5,5,1.0,0.950284299575097,12.281086967542706,0.0,0.0,,0.0
5,lucene,56574,0.126,5,5,1.0,0.9627030476321132,11.315748688506009,0.0,0.0,,0.0
5,lucene,57242,0.066,5,5,1.0,0.9763666731291899,16.54617205108134,0.0,0.0,,0.0
5,lucene,57387,0.091,5,5,1.0,0.9471850959144176,13.450537007218344,0.0,0.0,,0.0
5,lucene,57937,0.113,5,5,1.0,1.0,15.016001884004073,0.0,0.0,,0.0
5,lucene,58166,0.196,5,4,0.8,0.9373381311040994,10.642789260714373,0.0,0.0,,0.0
5,lucene,58579,0.047,5,5,1.0,0.9395796514232242,14.592693279187555,0.0,0.0,,0.0
1,ii,320,0.261,5,5,1.0,0.9947010319331506,12.288804097824462,0.08937210862246818,0.1111111111111111,9,0.1111111111111111
5,lucene,58802,0.12,5,5,1.0,1.0,14.2464252465794,0.0,0.0,,0.0
5,lucene,61755,0.05,5,4,0.8,0.894112465665124,14.839183891071558,0.0,0.0,,0.0
5,lucene,62732,0.055,5,5,1.0,1.0,8.657874344253004,0.0,0.0,,0.0
5,lucene,63200,0.11,5,5,1.0,0.9498467032511542,14.277228402401827,0.0,0.0,,0.0
5,lucene,63295,0.12,5,5,1.0,1.0,15.7464252465794,0.0,0.0,,0.0
1,ii,370,0.382,5,5,1.0,0.9738221876211404,13.31189012336513,0.0,0.0,,0.0
5,lucene,63902,0.126,5,5,1.0,0.9811324796093147,13.00028381172028,0.0,0.0,,0.0
5,lucene,65874,0.065,5,5,1.0,0.9861327500033238,16.430960369793674,0.0,0.0,,0.0
5,lucene,66281,0.091,5,5,1.0,0.937409742040608,13.016001884004073,0.0,0.0,,0.0
1,ii,1387,0.28,5,5,1.0,1.0,14.2464252465794,0.0,0.0,,0.0
5,lucene,67026,0.08600000000000001,5,5,1.0,0.9898930248933558,12.823465818787767,0.0,0.0,,0.0
5,lucene,68874,0.081,5,5,1.0,0.9812809154202794,9.673592416536797,0.0,0.0,,0.0
5,lucene,69374,0.05,5,5,1.0,0.9974855380544579,13.75028381172028,0.0,0.0,,0.0
5,lucene,69498,0.094,5,5,1.0,0.9951575398929525,14.2464252465794,0.0,0.0,,0.0
1,ii,1835,0.394,5,5,1.0,0.9539832949902515,14.677101804652795,0.08666409374161584,0.125,8,0.125
5,lucene,70740,0.17500000000000002,5,4,0.8,0.8790780000963963,12.52371901428583,0.0,0.0,,0.0
5,lucene,70835,0.083,5,5,1.0,1.0,16.87735500015086,0.07247893467786841,0.058823529411764705,17,0.058823529411764705
5,lucene,70939,0.068,5,5,1.0,0.9550415938810757,15.611636927867066,0.0,0.0,,0.0
5,lucene,72633,0.036000000000000004,5,5,1.0,0.9593142338541187,14.15015721397125,0.0,0.0,,0.0
5,lucene,72971,0.131,5,5,1.0,0.9119566836008418,13.346551844328435,0.0,0.0,,0.0
5,svd,2988,0.005,5,5,1.0,0.9857715873048196,12.784945532683583,0.0,0.0,,0.0
5,svd,4347,0.002,5,5,1.0,1.0,10.969480655897856,0.0,0.0,,0.0
5,svd,5475,0.002,5,5,1.0,0.9714977607820154,13.115495493007945,0.3333263257838566,1.0,1,1.0
5,svd,7541,0.004,5,5,1.0,0.9958119133545018,15.565748688506009,0.0,0.0,,0.0
5,svd,7880,0.003,5,5,1.0,0.9839592455335534,11.319607253646886,0.0,0.0,,0.0
5,svd,8527,0.004,5,5,1.0,0.988476198161554,17.177101804652793,0.0,0.0,,0.0
5,svd,8932,0.002,5,5,1.0,0.9459740694309977,12.396298648830369,0.0,0.0,,0.0
5,svd,10055,0.002,5,5,1.0,1.0,13.465622090756977,0.0,0.0,,0.0
5,svd,10164,0.002,5,5,1.0,0.9431163974491301,12.434818934934553,0.0,0.0,,0.0
5,svd,11343,0.002,5,5,1.0,1.0,12.50028381172028,0.0,0.0,,0.0
1,ii,2248,0.451,5,5,1.0,0.9770709631333402,12.800030616222216,0.0,0.0,,0.0
5,svd,12778,0.002,5,5,1.0,0.9692257800376622,14.777228402401827,0.059730788041093566,0.047619047619047616,21,0.047619047619047616
5,svd,12947,0.003,5,5,1.0,0.9862958337928599,13.281086967542706,0.0,0.0,,0.0
5,svd,13665,0.003,5,5,1.0,0.9634631629123275,13.184818934934553,0.0,0.0,,0.0
5,svd,13814,0.003,5,5,1.0,0.9564535446137499,14.027228402401827,0.0,0.0,,0.0
5,svd,15415,0.003,5,5,1.0,0.9830467387302566,14.4964252465794,0.0,0.0,,0.0
5,svd,15479,0.003,5,5,1.0,1.0,15.065748688506009,0.0,0.0,,0.0
5,svd,16539,0.003,5,5,1.0,1.0,13.173592416536797,0.0,0.0,,0.0
5,svd,16559,0.003,5,5,1.0,0.9743401517537063,15.927101804652795,0.0,0.0,,0.0
5,svd,18675,0.002,5,5,1.0,1.0,10.684818934934553,0.10001307161417164,0.14285714285714285,7,0.14285714285714285
